,circuits,k1,k2,theta1,theta2,loss,Circuit
0,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0006293830544011572,0.0008753844314811451,1.5922598188275137,Dual Control
1,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0006992655697847073,0.0007165286079982301,1.5104141922693033,Downstream Activation
2,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0008692289253416769,0.0009383665857905191,1.9182282046405015,Downstream Activation
3,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0009709067396533274,0.0009478140670518178,2.034143820377647,Dual Control
4,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,3.612593491728022e-05,0.0008760124521164458,0.9263522391183019,Dual Control
5,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1.1823103159557546e-05,0.0008272292652648108,0.8900623757503136,Dual Control
6,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,0.001,1.489067878501557,Dual Control
7,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00018316279225054084,1e-07,0.6722051463657577,Dual Control
8,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394227,Dual Control
9,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.001,1e-07,1.4890412558278687,Downstream Activation
10,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394237,Dual Control
11,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.49300483533940537,Dual Control
12,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942235,Upstream Repression
13,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533940503,Upstream Repression
14,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,0.0005069525710947416,0.0005469858177109974,1.1305292703482606,No Control
15,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942246,Upstream Repression
16,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394231,Upstream Repression
17,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394137,Upstream Repression
18,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,0.001,0.001,2.1188220618216205,No Control
19,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1.0000000000000243e-07,1e-07,0.49300483533942296,Upstream Repression
20,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,1e-07,1e-07,0.4930048353394046,Downstream Activation
21,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,0.001,0.001,2.1188220618216205,No Control
22,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394231,Dual Control
23,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942235,Upstream Repression
24,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.493004835339423,Dual Control
25,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394231,Upstream Repression
26,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,0.0003037824270248627,0.7928507887043461,Upstream Repression
27,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,1e-07,0.001,1.489067875982672,Downstream Activation
28,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394228,Dual Control
29,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394225,Dual Control
30,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.001,1e-07,1.4890412573479792,Dual Control
31,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394055,Dual Control
32,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942274,Upstream Repression
33,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942285,Upstream Repression
34,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
35,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,0.001,0.001,2.1188220619579137,Upstream Repression
36,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
37,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394212,Upstream Repression
38,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942324,Upstream Repression
39,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,1e-07,1e-07,0.4930048353394046,Downstream Activation
40,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394227,Upstream Repression
41,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394225,Upstream Repression
42,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394132,Dual Control
43,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394231,Upstream Repression
44,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394231,Upstream Repression
45,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,0.001,0.001,2.1188220618216205,No Control
46,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394218,Upstream Repression
47,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394231,Upstream Repression
48,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394231,Dual Control
49,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394231,Dual Control
50,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,0.0004511968029767771,0.00028140439023806324,0.7848593169713013,Upstream Repression
51,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394231,Dual Control
52,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394231,Upstream Repression
53,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394063,Upstream Repression
54,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394225,Upstream Repression
55,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,0.001,1e-07,1.4890412558278687,No Control
56,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394231,Dual Control
57,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394231,Dual Control
58,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394231,Dual Control
59,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394232,Dual Control
60,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394227,Upstream Repression
61,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394231,Dual Control
62,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942235,Upstream Repression
63,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942296,Upstream Repression
64,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394225,Upstream Repression
65,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394225,Upstream Repression
66,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.493004835339405,Upstream Repression
67,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394221,Upstream Repression
68,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394231,Upstream Repression
69,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,1e-07,1e-07,0.4930048353394046,Downstream Activation
70,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
71,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394054,No Control
72,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394227,Upstream Repression
73,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533940537,Upstream Repression
74,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394223,Upstream Repression
75,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394226,Upstream Repression
76,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
77,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394048,No Control
78,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394048,No Control
79,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,1e-07,1e-07,0.4930048353394046,Downstream Activation
80,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394049,No Control
81,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394049,No Control
82,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533940564,Upstream Repression
83,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
84,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.49300483533940576,Dual Control
85,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394221,Upstream Repression
86,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
87,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394232,Upstream Repression
88,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394231,Upstream Repression
89,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942246,Upstream Repression
90,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394227,Upstream Repression
91,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533943806,Upstream Repression
92,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,1e-07,1e-07,0.4930048353394046,Downstream Activation
93,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942246,Upstream Repression
94,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942274,Upstream Repression
95,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.49300483533942346,Dual Control
96,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.49300483533940564,Dual Control
97,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394231,Dual Control
98,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
99,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
100,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,1e-07,1e-07,0.4930048353394046,Downstream Activation
101,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394042,No Control
102,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533940503,Upstream Repression
103,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.49300483533943773,Dual Control
104,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942274,Upstream Repression
105,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.49300483533942296,Dual Control
106,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533940453,Upstream Repression
107,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
108,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942274,Upstream Repression
109,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.49300483533940564,Dual Control
110,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394386,Upstream Repression
111,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394057,Upstream Repression
112,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394054,Upstream Repression
113,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942285,Upstream Repression
114,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394231,Upstream Repression
115,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394231,Dual Control
116,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394223,Upstream Repression
117,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394231,Dual Control
118,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533940526,Upstream Repression
119,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942274,Upstream Repression
120,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942224,Upstream Repression
121,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394052,No Control
122,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,1e-07,1e-07,0.49300483533940503,Downstream Activation
123,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.493004835339422,Dual Control
124,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
125,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394225,Upstream Repression
126,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394048,No Control
127,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394045,Dual Control
128,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,1e-07,1e-07,0.4930048353394046,Downstream Activation
129,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.493004835339423,Upstream Repression
130,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,1e-07,1e-07,0.4930048353394046,Downstream Activation
131,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.493004835339439,Dual Control
132,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533943723,Upstream Repression
133,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394054,Upstream Repression
134,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394231,Upstream Repression
135,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942235,Upstream Repression
136,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394056,Upstream Repression
137,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,1e-07,1e-07,0.4930048353394046,Downstream Activation
138,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533943656,Upstream Repression
139,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
140,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942296,Upstream Repression
141,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
142,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942213,Upstream Repression
143,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394056,Upstream Repression
144,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
145,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
146,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
147,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942163,Upstream Repression
148,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394056,Upstream Repression
149,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394231,Upstream Repression
