Reaction Name,Reactant(s),Product(s),Reaction Rate
,,,
PA1_Chemical_Dilution:,PA1_Chemical,null,PA1_Chemical * PA1_Chemical_dilution_rate
PA2_Chemical_Dilution:,PA2_Chemical,null,PA2_Chemical * PA2_Chemical_dilution_rate
PA3_Chemical_Dilution:,PA3_Chemical,null,PA3_Chemical * PA3_Chemical_dilution_rate
PAF_Chemical_Dilution:,PAF_Chemical,null,PAF_Chemical * PAF_Chemical_dilution_rate
PACA_Chemical_Internal_Dilution:,PACA_Chemical_Internal,null,PACA_Chemical_Internal * PACA_Chemical_Internal_dilution_rate
Chorismate_Chemical_Dilution:,Chorismate_Chemical,null,Chorismate_Chemical * Chorismate_Chemical_dilution_rate
Deaminase_Dilution:,Deaminase,null,Deaminase * Deaminase_dilution_rate
PAF_Loss:,PAF_Chemical,null,PAF_Chemical * PAF_Chemical_loss_rate
Promoter1_Division:,Promoter1,{2}Promoter1,Promoter1 * globalDivisionRate
Promoter1_Dilution:,Promoter1,null,Promoter1 * globalDilutionRate
Promoter2_Division:,Promoter2,{2}Promoter2,Promoter2 * globalDivisionRate
Promoter2_Dilution:,Promoter2,null,Promoter2 * globalDilutionRate
Promoter3_Division:,Promoter3,{2}Promoter3,Promoter3 * globalDivisionRate
Promoter3_Dilution:,Promoter3,null,Promoter3 * globalDilutionRate
Module_Pap_Operon_Pap_Operon_Txn:,null,Pap_Operon_mRNA,Promoter1 * Module_Pap_Operon_Pap_Operon_mRNA_production_rate * Toxicity_Factor
Module_Pap_Operon_Pap_Operon_Dilution:,Pap_Operon_mRNA,null,Pap_Operon_mRNA * Module_Pap_Operon_Pap_Operon_mRNA_dilution_rate
Module_Pap_Operon_Pap_Operon_Degradation:,Pap_Operon_mRNA,null,Pap_Operon_mRNA * Module_Pap_Operon_Pap_Operon_mRNA_degradation_rate
Module_Pap_Operon_PapA_Tsn:,Pap_Operon_mRNA,Pap_Operon_mRNA + PapA_Protein_Unfolded,Pap_Operon_mRNA * Module_Pap_Operon_PapA_protein_production_rate * Toxicity_Factor
Module_Pap_Operon_PapA_Folding:,PapA_Protein_Unfolded,PapA_Protein_Folded,PapA_Protein_Unfolded * Module_Pap_Operon_PapA_protein_folding_rate * Toxicity_Factor
Module_Pap_Operon_PapA_Unf_Dilution:,PapA_Protein_Unfolded,null,PapA_Protein_Unfolded * Module_Pap_Operon_PapA_protein_dilution_rate
Module_Pap_Operon_PapA_Fol_Dilution:,PapA_Protein_Folded,null,PapA_Protein_Folded * Module_Pap_Operon_PapA_protein_dilution_rate
Module_Pap_Operon_PapA_Unf_Degradation:,PapA_Protein_Unfolded,null,PapA_Protein_Unfolded * Module_Pap_Operon_PapA_protein_degradation_rate
Module_Pap_Operon_PapA_Fol_Degradation:,PapA_Protein_Folded,null,PapA_Protein_Folded * Module_Pap_Operon_PapA_protein_degradation_rate
Module_Pap_Operon_PapB_Tsn:,Pap_Operon_mRNA,Pap_Operon_mRNA + PapB_Protein_Unfolded,Pap_Operon_mRNA * Module_Pap_Operon_PapB_protein_production_rate * Toxicity_Factor
Module_Pap_Operon_PapB_Folding:,PapB_Protein_Unfolded,PapB_Protein_Folded,PapB_Protein_Unfolded * Module_Pap_Operon_PapB_protein_folding_rate * Toxicity_Factor
Module_Pap_Operon_PapB_Unf_Dilution:,PapB_Protein_Unfolded,null,PapB_Protein_Unfolded * Module_Pap_Operon_PapB_protein_dilution_rate
Module_Pap_Operon_PapB_Fol_Dilution:,PapB_Protein_Folded,null,PapB_Protein_Folded * Module_Pap_Operon_PapB_protein_dilution_rate
Module_Pap_Operon_PapB_Unf_Degradation:,PapB_Protein_Unfolded,null,PapB_Protein_Unfolded * Module_Pap_Operon_PapB_protein_degradation_rate
Module_Pap_Operon_PapB_Fol_Degradation:,PapB_Protein_Folded,null,PapB_Protein_Folded * Module_Pap_Operon_PapB_protein_degradation_rate
Module_Pap_Operon_PapC_Tsn:,Pap_Operon_mRNA,Pap_Operon_mRNA + PapC_Protein_Unfolded,Pap_Operon_mRNA * Module_Pap_Operon_PapC_protein_production_rate * Toxicity_Factor
Module_Pap_Operon_PapC_Folding:,PapC_Protein_Unfolded,PapC_Protein_Folded,PapC_Protein_Unfolded * Module_Pap_Operon_PapC_protein_folding_rate * Toxicity_Factor
Module_Pap_Operon_PapC_Unf_Dilution:,PapC_Protein_Unfolded,null,PapC_Protein_Unfolded * Module_Pap_Operon_PapC_protein_dilution_rate
Module_Pap_Operon_PapC_Fol_Dilution:,PapC_Protein_Folded,null,PapC_Protein_Folded * Module_Pap_Operon_PapC_protein_dilution_rate
Module_Pap_Operon_PapC_Unf_Degradation:,PapC_Protein_Unfolded,null,PapC_Protein_Unfolded * Module_Pap_Operon_PapC_protein_degradation_rate
Module_Pap_Operon_PapC_Fol_Degradation:,PapC_Protein_Folded,null,PapC_Protein_Folded * Module_Pap_Operon_PapC_protein_degradation_rate
Module_Pap_Operon_mRNA_aRED_Folded_PapA_Tsn:,Pap_Operon_mRNA_aRED_Folded_mRNA,Pap_Operon_mRNA_aRED_Folded_mRNA + PapA_Protein_Unfolded,Pap_Operon_mRNA_aRED_Folded_mRNA * Module_Pap_Operon_mRNA_aRED_Folded_PapA_protein_production_rate * Toxicity_Factor
Module_Pap_Operon_mRNA_aRED_Cleaved_PapA_Tsn:,Pap_Operon_mRNA_aRED_Cleaved_mRNA,Pap_Operon_mRNA_aRED_Cleaved_mRNA + PapA_Protein_Unfolded,Pap_Operon_mRNA_aRED_Cleaved_mRNA * Module_Pap_Operon_mRNA_aRED_Cleaved_PapA_protein_production_rate * Toxicity_Factor
Module_Pap_Operon_mRNA_aRED_Folded_PapB_Tsn:,Pap_Operon_mRNA_aRED_Folded_mRNA,Pap_Operon_mRNA_aRED_Folded_mRNA + PapB_Protein_Unfolded,Pap_Operon_mRNA_aRED_Folded_mRNA * Module_Pap_Operon_mRNA_aRED_Folded_PapB_protein_production_rate * Toxicity_Factor
Module_Pap_Operon_mRNA_aRED_Cleaved_PapB_Tsn:,Pap_Operon_mRNA_aRED_Cleaved_mRNA,Pap_Operon_mRNA_aRED_Cleaved_mRNA + PapB_Protein_Unfolded,Pap_Operon_mRNA_aRED_Cleaved_mRNA * Module_Pap_Operon_mRNA_aRED_Cleaved_PapB_protein_production_rate * Toxicity_Factor
Module_Pap_Operon_mRNA_aRED_Folded_PapC_Tsn:,Pap_Operon_mRNA_aRED_Folded_mRNA,Pap_Operon_mRNA_aRED_Folded_mRNA + PapC_Protein_Unfolded,Pap_Operon_mRNA_aRED_Folded_mRNA * Module_Pap_Operon_mRNA_aRED_Folded_PapC_protein_production_rate * Toxicity_Factor
Module_Pap_Operon_mRNA_aRED_Cleaved_PapC_Tsn:,Pap_Operon_mRNA_aRED_Cleaved_mRNA,Pap_Operon_mRNA_aRED_Cleaved_mRNA + PapC_Protein_Unfolded,Pap_Operon_mRNA_aRED_Cleaved_mRNA * Module_Pap_Operon_mRNA_aRED_Cleaved_PapC_protein_production_rate * Toxicity_Factor
Pap_Operon_aRED_Folding:,Pap_Operon_mRNA,Pap_Operon_mRNA_aRED_Folded_mRNA,Pap_Operon_mRNA * Pap_Operon_aRED_folding_rate * Toxicity_Factor
Pap_Operon_aRED_Unbound_Cleaving:,Pap_Operon_mRNA_aRED_Folded_mRNA,Pap_Operon_mRNA_aRED_Cleaved_mRNA,Pap_Operon_mRNA_aRED_Folded_mRNA * Pap_Operon_aRED_basal_cleavage_rate * Toxicity_Factor
Pap_Operon_aRED_Bound_Cleaving:,Pap_Operon_mRNA_aRED_Folded_mRNA,Pap_Operon_mRNA_aRED_Cleaved_mRNA,Pap_Operon_mRNA_aRED_Folded_mRNA * Pap_Operon_aRED_bound_cleavage_rate * Toxicity_Factor
Pap_Operon_aRED_Folded_mRNA_Dilution:,Pap_Operon_mRNA_aRED_Folded_mRNA,null,Pap_Operon_mRNA_aRED_Folded_mRNA * Pap_Operon_aRED_dilution_rate
Pap_Operon_aRED_Cleaved_mRNA_Dilution:,Pap_Operon_mRNA_aRED_Cleaved_mRNA,null,Pap_Operon_mRNA_aRED_Cleaved_mRNA * Pap_Operon_aRED_dilution_rate
Pap_Operon_aRED_Folded_mRNA_Degradation:,Pap_Operon_mRNA_aRED_Folded_mRNA,null,Pap_Operon_mRNA_aRED_Folded_mRNA * Pap_Operon_aRED_degradation_rate
Pap_Operon_aRED_Cleaved_mRNA_Degradation:,Pap_Operon_mRNA_aRED_Cleaved_mRNA,null,Pap_Operon_mRNA_aRED_Cleaved_mRNA * Pap_Operon_aRED_cleaved_degradation_rate
Module_LAAO_LAAO_Txn:,null,LAAO_mRNA,Promoter2 * Module_LAAO_LAAO_mRNA_production_rate * Toxicity_Factor
Module_LAAO_LAAO_Dilution:,LAAO_mRNA,null,LAAO_mRNA * Module_LAAO_LAAO_mRNA_dilution_rate
Module_LAAO_LAAO_Degradation:,LAAO_mRNA,null,LAAO_mRNA * Module_LAAO_LAAO_mRNA_degradation_rate
Module_LAAO_LAAO_Tsn:,LAAO_mRNA,LAAO_mRNA + LAAO_Protein_Unfolded,LAAO_mRNA * Module_LAAO_LAAO_protein_production_rate * Toxicity_Factor
Module_LAAO_LAAO_Folding:,LAAO_Protein_Unfolded,LAAO_Protein_Folded,LAAO_Protein_Unfolded * Module_LAAO_LAAO_protein_folding_rate * Toxicity_Factor
Module_LAAO_LAAO_Unf_Dilution:,LAAO_Protein_Unfolded,null,LAAO_Protein_Unfolded * Module_LAAO_LAAO_protein_dilution_rate
Module_LAAO_LAAO_Fol_Dilution:,LAAO_Protein_Folded,null,LAAO_Protein_Folded * Module_LAAO_LAAO_protein_dilution_rate
Module_LAAO_LAAO_Unf_Degradation:,LAAO_Protein_Unfolded,null,LAAO_Protein_Unfolded * Module_LAAO_LAAO_protein_degradation_rate
Module_LAAO_LAAO_Fol_Degradation:,LAAO_Protein_Folded,null,LAAO_Protein_Folded * Module_LAAO_LAAO_protein_degradation_rate
Module_LAAO_mRNA_aRED_Folded_LAAO_Tsn:,LAAO_mRNA_aRED_Folded_mRNA,LAAO_mRNA_aRED_Folded_mRNA + LAAO_Protein_Unfolded,LAAO_mRNA_aRED_Folded_mRNA * Module_LAAO_mRNA_aRED_Folded_LAAO_protein_production_rate * Toxicity_Factor
Module_LAAO_mRNA_aRED_Cleaved_LAAO_Tsn:,LAAO_mRNA_aRED_Cleaved_mRNA,LAAO_mRNA_aRED_Cleaved_mRNA + LAAO_Protein_Unfolded,LAAO_mRNA_aRED_Cleaved_mRNA * Module_LAAO_mRNA_aRED_Cleaved_LAAO_protein_production_rate * Toxicity_Factor
LAAO_aRED_Folding:,LAAO_mRNA,LAAO_mRNA_aRED_Folded_mRNA,LAAO_mRNA * LAAO_aRED_folding_rate * Toxicity_Factor
LAAO_aRED_Unbound_Cleaving:,LAAO_mRNA_aRED_Folded_mRNA,LAAO_mRNA_aRED_Cleaved_mRNA,LAAO_mRNA_aRED_Folded_mRNA * LAAO_aRED_basal_cleavage_rate * Toxicity_Factor
LAAO_aRED_Bound_Cleaving:,LAAO_mRNA_aRED_Folded_mRNA,LAAO_mRNA_aRED_Cleaved_mRNA,LAAO_mRNA_aRED_Folded_mRNA * LAAO_aRED_bound_cleavage_rate * Toxicity_Factor
LAAO_aRED_Folded_mRNA_Dilution:,LAAO_mRNA_aRED_Folded_mRNA,null,LAAO_mRNA_aRED_Folded_mRNA * LAAO_aRED_dilution_rate
LAAO_aRED_Cleaved_mRNA_Dilution:,LAAO_mRNA_aRED_Cleaved_mRNA,null,LAAO_mRNA_aRED_Cleaved_mRNA * LAAO_aRED_dilution_rate
LAAO_aRED_Folded_mRNA_Degradation:,LAAO_mRNA_aRED_Folded_mRNA,null,LAAO_mRNA_aRED_Folded_mRNA * LAAO_aRED_degradation_rate
LAAO_aRED_Cleaved_mRNA_Degradation:,LAAO_mRNA_aRED_Cleaved_mRNA,null,LAAO_mRNA_aRED_Cleaved_mRNA * LAAO_aRED_cleaved_degradation_rate
Module_Efflux_Pump_Efflux_Pump_Txn:,null,Efflux_Pump_mRNA,Promoter3 * Module_Efflux_Pump_Efflux_Pump_mRNA_production_rate * Toxicity_Factor
Module_Efflux_Pump_Efflux_Pump_Dilution:,Efflux_Pump_mRNA,null,Efflux_Pump_mRNA * Module_Efflux_Pump_Efflux_Pump_mRNA_dilution_rate
Module_Efflux_Pump_Efflux_Pump_Degradation:,Efflux_Pump_mRNA,null,Efflux_Pump_mRNA * Module_Efflux_Pump_Efflux_Pump_mRNA_degradation_rate
Module_Efflux_Pump_Efflux_Pump_Tsn:,Efflux_Pump_mRNA,Efflux_Pump_mRNA + Efflux_Pump_Protein_Unfolded,Efflux_Pump_mRNA * Module_Efflux_Pump_Efflux_Pump_protein_production_rate * Toxicity_Factor
Module_Efflux_Pump_Efflux_Pump_Folding:,Efflux_Pump_Protein_Unfolded,Efflux_Pump_Protein_Folded,Efflux_Pump_Protein_Unfolded * Module_Efflux_Pump_Efflux_Pump_protein_folding_rate * Toxicity_Factor
Module_Efflux_Pump_Efflux_Pump_Unf_Dilution:,Efflux_Pump_Protein_Unfolded,null,Efflux_Pump_Protein_Unfolded * Module_Efflux_Pump_Efflux_Pump_protein_dilution_rate
Module_Efflux_Pump_Efflux_Pump_Fol_Dilution:,Efflux_Pump_Protein_Folded,null,Efflux_Pump_Protein_Folded * Module_Efflux_Pump_Efflux_Pump_protein_dilution_rate
Module_Efflux_Pump_Efflux_Pump_Unf_Degradation:,Efflux_Pump_Protein_Unfolded,null,Efflux_Pump_Protein_Unfolded * Module_Efflux_Pump_Efflux_Pump_protein_degradation_rate
Module_Efflux_Pump_Efflux_Pump_Fol_Degradation:,Efflux_Pump_Protein_Folded,null,Efflux_Pump_Protein_Folded * Module_Efflux_Pump_Efflux_Pump_protein_degradation_rate
Module_Efflux_Pump_mRNA_aRED_Folded_Efflux_Pump_Tsn:,Efflux_Pump_mRNA_aRED_Folded_mRNA,Efflux_Pump_mRNA_aRED_Folded_mRNA + Efflux_Pump_Protein_Unfolded,Efflux_Pump_mRNA_aRED_Folded_mRNA * Module_Efflux_Pump_mRNA_aRED_Folded_Efflux_Pump_protein_production_rate * Toxicity_Factor
Module_Efflux_Pump_mRNA_aRED_Cleaved_Efflux_Pump_Tsn:,Efflux_Pump_mRNA_aRED_Cleaved_mRNA,Efflux_Pump_mRNA_aRED_Cleaved_mRNA + Efflux_Pump_Protein_Unfolded,Efflux_Pump_mRNA_aRED_Cleaved_mRNA * Module_Efflux_Pump_mRNA_aRED_Cleaved_Efflux_Pump_protein_production_rate * Toxicity_Factor
Efflux_Pump_aRED_Folding:,Efflux_Pump_mRNA,Efflux_Pump_mRNA_aRED_Folded_mRNA,Efflux_Pump_mRNA * Efflux_Pump_aRED_folding_rate * Toxicity_Factor
Efflux_Pump_aRED_Unbound_Cleaving:,Efflux_Pump_mRNA_aRED_Folded_mRNA,Efflux_Pump_mRNA_aRED_Cleaved_mRNA,Efflux_Pump_mRNA_aRED_Folded_mRNA * Efflux_Pump_aRED_basal_cleavage_rate * Toxicity_Factor
Efflux_Pump_aRED_Bound_Cleaving:,Efflux_Pump_mRNA_aRED_Folded_mRNA,Efflux_Pump_mRNA_aRED_Cleaved_mRNA,Efflux_Pump_mRNA_aRED_Folded_mRNA * Efflux_Pump_aRED_bound_cleavage_rate * Toxicity_Factor
Efflux_Pump_aRED_Folded_mRNA_Dilution:,Efflux_Pump_mRNA_aRED_Folded_mRNA,null,Efflux_Pump_mRNA_aRED_Folded_mRNA * Efflux_Pump_aRED_dilution_rate
Efflux_Pump_aRED_Cleaved_mRNA_Dilution:,Efflux_Pump_mRNA_aRED_Cleaved_mRNA,null,Efflux_Pump_mRNA_aRED_Cleaved_mRNA * Efflux_Pump_aRED_dilution_rate
Efflux_Pump_aRED_Folded_mRNA_Degradation:,Efflux_Pump_mRNA_aRED_Folded_mRNA,null,Efflux_Pump_mRNA_aRED_Folded_mRNA * Efflux_Pump_aRED_degradation_rate
Efflux_Pump_aRED_Cleaved_mRNA_Degradation:,Efflux_Pump_mRNA_aRED_Cleaved_mRNA,null,Efflux_Pump_mRNA_aRED_Cleaved_mRNA * Efflux_Pump_aRED_cleaved_degradation_rate
Deaminase_Biosynthesis:,null,Deaminase,Deaminase_production_rate * Toxicity_Factor
Chorismate_Chemical_Biosynthesis:,null,Chorismate_Chemical,Chorismate_Chemical_production_rate * Toxicity_Factor
PapA_Protein_Folded_Catalyzed_Biosynthesis:,PapA_Protein_Folded + Chorismate_Chemical,PA1_Chemical + PapA_Protein_Folded,PapA_Protein_Folded_kcat * PapA_Protein_Folded * ((Chorismate_Chemical / Avogadro) / Cell_Volume) / (PapA_Protein_Folded_km + ((Chorismate_Chemical / Avogadro) / Cell_Volume)) * Toxicity_Factor
PapB_Protein_Folded_Catalyzed_Biosynthesis:,PA1_Chemical + PapB_Protein_Folded,PA2_Chemical + PapB_Protein_Folded,PapB_Protein_Folded_kcat * ((PA1_Chemical / Avogadro) / Cell_Volume) / (PapB_Protein_Folded_km + ((PA1_Chemical / Avogadro) / Cell_Volume)) * PapB_Protein_Folded * Toxicity_Factor
PapC_Protein_Folded_Catalyzed_Biosynthesis:,PapC_Protein_Folded + PA2_Chemical,PapC_Protein_Folded + PA3_Chemical,PapC_Protein_Folded_kcat * PapC_Protein_Folded * ((PA2_Chemical / Avogadro) / Cell_Volume) / (PapC_Protein_Folded_km + ((PA2_Chemical / Avogadro) / Cell_Volume)) * Toxicity_Factor
Deaminase_Catalyzed_Biosynthesis:,Deaminase + PA3_Chemical,Deaminase + PAF_Chemical,Deaminase_kcat * Deaminase * ((PA3_Chemical / Avogadro) / Cell_Volume) / (Deaminase_km + ((PA3_Chemical / Avogadro) / Cell_Volume)) * Toxicity_Factor
LAAO_Protein_Folded_Catalyzed_Biosynthesis:,LAAO_Protein_Folded + PAF_Chemical,LAAO_Protein_Folded + PACA_Chemical_Internal,LAAO_Protein_Folded_kcat * LAAO_Protein_Folded * ((PAF_Chemical / Avogadro) / Cell_Volume) / (LAAO_Protein_Folded_km + ((PAF_Chemical / Avogadro) / Cell_Volume)) * Toxicity_Factor
PACA_Chemical_External_Efflux:,Efflux_Pump_Protein_Folded + PACA_Chemical_Internal,Efflux_Pump_Protein_Folded + PACA_Chemical_External,Efflux_Pump_Protein_Folded * ((PACA_Chemical_Internal / Avogadro) / Cell_Volume) * Efflux_Pump_Protein_Folded_efflux_rate * Toxicity_Factor
